dim,fid,repetition,BSqi,BSrr,CMA-CSA,fmincon,fminunc,HCMA,HMLSL,IPOP400D,MCS,MLSL,OQNLP,SMAC-BBOB
3,6,1,202.82996894409936,579.8136645962733,2.576086956521739,1.0,2.1071428571428568,4.211180124223602,1.062111801242236,3.0931677018633534,103.72864906832297,1.062111801242236,2.3260869565217392,746800.0
3,7,1,265.0902737332557,282.2888759464182,1.0,150.96097845078626,969380.0,1.0337798485730927,4.464181712288876,1.470005824111823,5.649388468258591,969380.0,5.346534653465347,969380.0
3,8,1,279.8004987531172,557.0635910224439,7.394014962593516,1.0,1.4488778054862843,5.112219451371571,1.0,12.069825436408976,13.887780548628427,1.0,1.4089775561097255,446765.0
3,9,1,577.0103857566766,388905.0,7.955489614243324,1.0682492581602372,1.0,7.474777448071216,1.0682492581602372,9.495548961424332,2.359050445103857,1.0682492581602372,1.056379821958457,388905.0
3,10,1,8124.0,8124.0,10.138047138047138,1.0,3.28956228956229,5.148148148148149,1.0,13.676767676767676,8124.0,1.0,10.72053872053872,8124.0
3,11,1,1364880.0,1364880.0,18.021505376344084,1.0,13.284946236559138,7.456989247311827,1.0,23.51075268817204,3669.0322580645156,1.0,18.161290322580644,1364880.0
3,12,1,105450.0,46.82504440497336,6.798401420959148,1.0,1.372113676731794,4.129662522202487,1.0115452930728241,10.627590290112478,2.2140319715808174,1.0115452930728241,13.99644760213144,105450.0
3,13,1,291866.666666667,109.23847695390782,5.573146292585171,1.0,1.284569138276553,3.304609218436874,1.0,7.679358717434869,292.45156980627957,1.0,2.5110220440881763,291866.666666667
3,14,1,20.193370165745854,23.69060773480663,4.138121546961326,1.0,1.1104972375690607,4.8397790055248615,1.0,6.077348066298342,9.408839779005525,1.0,1.3535911602209945,5.889502762430938
3,15,1,180065.0,180065.0,1.4450230912842683,4.9629065539943005,8.84666404637909,2.194752874127935,3.8529281713668073,3.530509973469588,4.466443942222659,7.5171137532344,1.0,180065.0
3,16,1,57.80071467839457,1346820.0,1.8814733369983456,111.06267179769074,101.37410665200632,2.0960417811984553,25.505607476635443,1.0,19.245395821880102,98.78807036833399,1346820.0,1346820.0
3,17,1,46.81047197640118,40.15363815142576,1.755653883972468,195710.0,195710.0,3.430678466076696,11.355457227138642,1.0,18.926745329400195,195710.0,48.10963618485742,195710.0
3,18,1,114260.0,114260.0,1.0,114260.0,114260.0,1.9885469849592932,7.883262039464605,114260.0,114260.0,114260.0,114260.0,114260.0
3,19,1,5.679252024773702,19.867079561696045,1.6754645069080516,9.271438780371605,6.424547403525488,3.4461648404001908,8.397093854216294,1.0,1.6113387327298714,13.054549785612195,1.1121486422105764,834020.0
3,20,1,18.792239756768524,11.81308817142033,2.7128999565658067,3.699638048356745,3.5326769943535594,3.0466483277834127,1.0,432660.0,3.500796293615178,3.213261908209068,1.3764297089908808,432660.0
3,21,1,136.08482142857156,170.38660714285732,3.4333928571428602,1.78607142857143,1.59482142857143,2.184107142857145,1.6842857142857157,2.7741071428571544,5.022321428571433,1.2589285714285727,1.3212053571428584,1.0
3,22,1,173.71832005792905,230.81100651701666,247.9459328988657,1.0,1.3403330919623462,77.35916002896451,1.671976828385228,684826.666666667,1.5858073859522086,3.057204923968139,1.2049239681390298,1.835626357711803
3,23,1,322032.5,322032.5,2.5636951833213515,1.0285406182602446,322032.5,2.4048885693745508,1.0,1.8846153846153846,11.57557512580877,1.103450754852624,4.7609633357296905,322032.5
3,24,1,17852000.0,17852000.0,17852000.0,17852000.0,17852000.0,249.05133928571428,6.232607886904757,17852000.0,17852000.0,17852000.0,1.0,17852000.0
5,1,1,2.35,2.35,21.116666666666667,2.183333333333333,1.0833333333333333,1.0,2.183333333333333,20.716666666666665,2.6333333333333333,2.183333333333333,2.5166666666666666,3.3000000000000003
5,2,1,1.0,1.407563025210084,26.470588235294116,3.26890756302521,11.239495798319327,3.8403361344537816,3.7899159663865545,35.214285714285715,6.088235294117647,3.7899159663865545,4.243697478991597,16762.0
5,3,1,1.0661559888579388,1.0,923.8022284122563,2653160.0,2653160.0,1.6392757660167132,20.11908077994429,2653160.0,2653160.0,2653160.0,2653160.0,2653160.0
5,4,1,1.0723981900452488,1.0,271240.0,271240.0,271240.0,51.82435211846977,55.78774167009461,271240.0,271240.0,271240.0,271240.0,271240.0
5,5,1,1.4583333333333335,1.4583333333333335,6.062500000000001,5.729166666666667,3.229166666666667,1.625,5.729166666666667,6.854166666666667,1.0416666666666667,5.729166666666667,2.5,1.0
5,6,1,318.5434894493052,1237860.0,1.9300051466803911,1.1605764282038085,2.979413278435409,2.2784354091610908,1.0,2.051466803911477,44.812789500772,1.0,1.7400926402470407,1237860.0
5,7,1,630630.0,630630.0,1.0,630630.0,630630.0,1.2735042735042734,5.937179487179487,1.4895299145299146,67.375,630630.0,630630.0,630630.0
5,8,1,18564.0,18564.0,5.733168622606548,1.239654107473749,1.0,2.3656578134651016,1.5497220506485485,4.578752316244595,1.1964175416924026,1.2032118591723286,1.0166769610870907,18564.0
5,9,1,18710.0,18710.0,13.81831610044313,1.137370753323486,1.0,9.676514032496307,1.137370753323486,11.50516986706056,1.9453471196454946,1.137370753323486,1.0827178729689808,18710.0
5,10,1,17242.0,17242.0,9.874592833876221,1.0,6.679153094462541,4.0667752442996745,1.0521172638436482,14.040716612377851,17242.0,1.0521172638436482,5.239413680781759,17242.0
5,11,1,29242.0,29242.0,17.513422818791945,1.0402684563758389,49.06375838926174,7.496644295302014,1.0,30.013422818791945,29242.0,1.0,38.20469798657718,29242.0
